loan_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,total_acc,total_pymnt,application_type
16000,15475, 60 months,17.49%,401.87,D,5 years,MORTGAGE,87000,Verified,Charged Off,debt_consolidation,MO,52,19289.76,Individual
2800,2800, 36 months,13.49%,95.01,C,10+ years,RENT,72000,Not Verified,Fully Paid,debt_consolidation,PA,9,3420.151178,Individual
25000,24950, 60 months,12.99%,568.7,C,5 years,MORTGAGE,75600,Verified,Fully Paid,major_purchase,AR,47,34121.91,Individual
16050,13275, 60 months,19.29%,353.67,E,2 years,MORTGAGE,70000,Verified,Fully Paid,debt_consolidation,MO,12,16387.34134,Individual
5000,5000, 36 months,6.99%,154.37,A,3 years,RENT,21000,Source Verified,Fully Paid,debt_consolidation,GA,8,5235.653206,Individual
12000,12000, 36 months,13.49%,407.17,C,4 years,MORTGAGE,57000,Not Verified,Fully Paid,credit_card,PA,19,14657.91765,Individual
10950,10950, 36 months,5.99%,333.08,A,3 years,RENT,47908,Source Verified,Fully Paid,home_improvement,GA,14,11900.37771,Individual
10000,10000, 60 months,19.69%,263.22,E,9 years,OWN,36000,Source Verified,Charged Off,debt_consolidation,NY,8,8189.14,Individual
3000,3000, 36 months,16.49%,106.2,D,2 years,RENT,55000,Verified,Fully Paid,moving,NY,18,3814.567276,Individual
12000,11950, 36 months,5.42%,361.92,A,6 years,MORTGAGE,96000,Source Verified,Fully Paid,small_business,PA,32,12904.56939,Individual
1500,1500, 36 months,7.49%,46.66,A,n/a,RENT,63128,Not Verified,Fully Paid,other,GA,17,1677.732054,Individual
6000,5750, 36 months,8.49%,189.38,A,< 1 year,MORTGAGE,116700,Not Verified,Fully Paid,debt_consolidation,FL,20,6746.429305,Individual
26250,26225, 60 months,16.89%,650.83,D,5 years,MORTGAGE,57120,Verified,Charged Off,debt_consolidation,CT,21,5857.47,Individual
28000,24225, 60 months,11.49%,543.65,B,10+ years,MORTGAGE,100000,Verified,Fully Paid,debt_consolidation,NM,50,32618.44992,Individual
10000,10000, 60 months,11.49%,219.88,B,n/a,RENT,45000,Source Verified,Fully Paid,debt_consolidation,MA,18,10644.88841,Individual
5600,5600, 36 months,5.42%,168.9,A,10+ years,MORTGAGE,72000,Not Verified,Fully Paid,home_improvement,NY,19,5731.745821,Individual
4800,4800, 36 months,12.99%,161.71,C,1 year,RENT,54000,Not Verified,Fully Paid,debt_consolidation,FL,35,5177.873151,Individual
8450,8450, 36 months,6.99%,260.88,A,4 years,MORTGAGE,98400,Not Verified,Charged Off,small_business,NY,30,8546.94,Individual
9000,9000, 36 months,13.49%,305.38,C,6 years,RENT,62532,Source Verified,Fully Paid,debt_consolidation,CA,10,10973.20833,Individual
24250,16875, 60 months,20.62%,453.6,F,5 years,MORTGAGE,58000,Verified,Fully Paid,debt_consolidation,MI,23,27171.03213,Individual
6800,6775, 36 months,8.49%,214.63,A,8 years,RENT,68004,Source Verified,Fully Paid,major_purchase,OK,16,7695.645953,Individual
8000,8000, 36 months,18.39%,290.79,E,4 years,RENT,84000,Verified,Charged Off,debt_consolidation,CA,13,3823.3,Individual
5000,4750, 36 months,6.99%,154.37,A,3 years,MORTGAGE,65000,Verified,Fully Paid,debt_consolidation,MD,23,5138.286858,Individual
16000,16000, 36 months,8.49%,505.01,A,10+ years,RENT,44000,Source Verified,Fully Paid,credit_card,VA,16,18180.21754,Individual
15000,14500, 60 months,11.49%,329.82,B,10+ years,MORTGAGE,85000,Source Verified,Fully Paid,debt_consolidation,CT,41,19597.10002,Individual
3600,3600, 36 months,15.23%,125.21,C,8 years,RENT,160000,Not Verified,Fully Paid,debt_consolidation,NV,37,4507.154275,Individual
15000,15000, 36 months,6.99%,463.09,A,10+ years,RENT,99000,Not Verified,Fully Paid,debt_consolidation,FL,8,16433.20619,Individual
20000,20000, 36 months,11.99%,664.2,B,2 years,RENT,90000,Not Verified,Fully Paid,debt_consolidation,NJ,32,23891.1589,Individual
5000,5000, 36 months,9.99%,161.32,B,9 years,MORTGAGE,48000,Source Verified,Fully Paid,home_improvement,KY,29,5807.205108,Individual
9600,9550, 60 months,10.99%,208.68,B,3 years,RENT,60000,Verified,Fully Paid,car,PA,32,12495.36001,Individual
4600,4600, 36 months,10.59%,149.71,B,1 year,RENT,40000,Source Verified,Fully Paid,wedding,IL,6,5389.413689,Individual
10625,10625, 36 months,8.49%,335.36,A,< 1 year,RENT,62467,Source Verified,Fully Paid,car,MD,10,11454.86546,Individual
4000,4000, 36 months,5.42%,120.64,A,10+ years,MORTGAGE,55000,Not Verified,Fully Paid,major_purchase,VA,40,4130.565386,Individual
6000,6000, 36 months,5.42%,180.96,A,2 years,MORTGAGE,70000,Source Verified,Fully Paid,moving,OK,30,6364.26743,Individual
8000,8000, 36 months,10.99%,261.88,B,10+ years,RENT,54000,Not Verified,Fully Paid,debt_consolidation,CA,21,9427.334452,Individual
21000,21000, 36 months,11.99%,697.41,B,3 years,RENT,80000,Not Verified,Fully Paid,debt_consolidation,CA,9,24413.88486,Individual
12200,12175, 36 months,11.49%,402.25,B,1 year,RENT,42000,Verified,Charged Off,major_purchase,CA,25,7767.07,Individual
15775,15700, 36 months,10.59%,513.4,B,4 years,RENT,56472,Not Verified,Fully Paid,debt_consolidation,CA,24,17412.70233,Individual
18225,15125, 60 months,17.99%,384.63,E,6 years,MORTGAGE,42000,Verified,Charged Off,debt_consolidation,CA,23,8354.32,Individual
12000,12000, 60 months,17.49%,301.41,D,6 years,RENT,30000,Verified,Charged Off,debt_consolidation,CA,15,15974.73,Individual
12000,12000, 60 months,13.49%,276.06,C,8 years,RENT,50000,Not Verified,Charged Off,other,KS,20,11745.96,Individual
10825,10825, 36 months,10.99%,354.35,B,10+ years,OWN,44630.28,Not Verified,Fully Paid,credit_card,CO,25,12756.40283,Individual
5000,5000, 36 months,5.42%,150.8,A,3 years,MORTGAGE,40000,Source Verified,Fully Paid,other,KS,14,5428.767193,Individual
5000,5000, 60 months,15.99%,121.57,D,4 years,RENT,39996,Not Verified,Fully Paid,other,NJ,25,7293.628505,Individual
25000,16175, 60 months,21.74%,445.04,F,10+ years,RENT,57000,Verified,Charged Off,small_business,MD,30,4895.44,Individual
8000,7975, 36 months,9.99%,258.1,B,5 years,RENT,73008,Not Verified,Fully Paid,major_purchase,MA,30,9289.466557,Individual
15000,15000, 36 months,16.89%,533.98,D,1 year,OWN,60000,Source Verified,Fully Paid,debt_consolidation,CA,47,17853.54468,Individual
12000,12000, 60 months,13.49%,276.06,C,< 1 year,RENT,56496,Not Verified,Fully Paid,debt_consolidation,IL,57,16402.95999,Individual
5500,5500, 60 months,17.49%,138.15,D,1 year,RENT,25008,Not Verified,Fully Paid,debt_consolidation,FL,12,7328.592148,Individual
2500,2500, 36 months,11.99%,83.03,B,3 years,MORTGAGE,90000,Source Verified,Fully Paid,home_improvement,CA,27,2988.827573,Individual
4800,4750, 36 months,5.42%,144.77,A,5 years,MORTGAGE,35000,Not Verified,Fully Paid,home_improvement,NY,38,5211.610511,Individual
13500,13500, 60 months,17.99%,342.74,E,10+ years,RENT,26500,Verified,Charged Off,debt_consolidation,LA,24,1370.96,Individual
8500,8500, 36 months,5.42%,256.36,A,9 years,MORTGAGE,38000,Not Verified,Fully Paid,debt_consolidation,MN,29,9154.631771,Individual
4000,4000, 36 months,9.99%,129.05,B,8 years,MORTGAGE,53400,Source Verified,Fully Paid,home_improvement,FL,28,4065.938472,Individual
25000,25000, 36 months,16.89%,889.96,D,9 years,MORTGAGE,95000,Source Verified,Fully Paid,home_improvement,TX,15,32038.10273,Individual
3075,3075, 36 months,10.99%,100.66,B,< 1 year,RENT,44000,Not Verified,Fully Paid,credit_card,FL,13,3591.711362,Individual
8000,8000, 36 months,16.49%,283.2,D,3 years,RENT,45000,Not Verified,Fully Paid,debt_consolidation,CA,10,10194.9879,Individual
13000,13000, 36 months,6.99%,401.35,A,10+ years,MORTGAGE,83200,Source Verified,Fully Paid,home_improvement,NC,42,14448.3135,Individual
3600,3600, 36 months,7.49%,111.97,A,1 year,OWN,50000,Not Verified,Fully Paid,debt_consolidation,NJ,19,3733.034422,Individual
4800,4800, 36 months,5.99%,146.01,A,8 years,MORTGAGE,110000,Not Verified,Fully Paid,other,MN,28,5135.835081,Individual
15000,11175, 60 months,16.49%,274.68,D,1 year,RENT,55000,Source Verified,Fully Paid,small_business,MN,9,16480.08898,Individual
25000,25000, 60 months,15.23%,597.78,C,10+ years,MORTGAGE,84000,Verified,Fully Paid,debt_consolidation,WY,27,35865.98,Individual
1600,1600, 36 months,13.99%,54.68,C,1 year,RENT,60000,Source Verified,Fully Paid,debt_consolidation,CA,15,1968.321741,Individual
14000,13950, 60 months,10.59%,301.54,B,10+ years,MORTGAGE,53280,Not Verified,Fully Paid,car,MA,14,18092.34001,Individual
7500,7500, 36 months,9.99%,241.97,B,10+ years,MORTGAGE,71000,Not Verified,Fully Paid,credit_card,AL,24,8710.865414,Individual
1800,1800, 36 months,11.49%,59.35,B,10+ years,MORTGAGE,51000,Not Verified,Fully Paid,debt_consolidation,WY,18,2136.525256,Individual
15000,15000, 36 months,8.49%,473.45,A,3 years,RENT,69000,Source Verified,Fully Paid,debt_consolidation,IL,16,15943.5375,Individual
6000,6000, 36 months,14.79%,207.38,C,10+ years,MORTGAGE,40000,Source Verified,Fully Paid,debt_consolidation,FL,19,6774.282302,Individual
7800,7725, 60 months,12.99%,177.44,C,< 1 year,RENT,75000,Not Verified,Charged Off,other,CO,9,6435.28,Individual
13000,12950, 36 months,10.99%,425.55,B,10+ years,RENT,55000,Not Verified,Fully Paid,debt_consolidation,MD,34,14479.12677,Individual
12000,12000, 36 months,10.99%,392.81,B,7 years,RENT,37200,Not Verified,Charged Off,debt_consolidation,SC,10,1300.04,Individual
5000,5000, 36 months,16.49%,177,D,1 year,RENT,35000,Not Verified,Fully Paid,small_business,NC,22,6336.53093,Individual
5000,5000, 36 months,9.99%,161.32,B,3 years,RENT,61000,Not Verified,Fully Paid,debt_consolidation,MA,22,5807.205108,Individual
14000,14000, 60 months,10.99%,304.33,B,4 years,RENT,27000,Not Verified,Fully Paid,debt_consolidation,WI,26,18259.33165,Individual
2000,2000, 36 months,5.99%,60.84,A,10+ years,MORTGAGE,50031,Source Verified,Fully Paid,home_improvement,CA,23,2190.036005,Individual
11000,11000, 60 months,20.25%,292.97,F,1 year,MORTGAGE,51600,Verified,Charged Off,small_business,TX,11,2353.7,Individual
29175,29175, 36 months,8.49%,920.85,A,4 years,MORTGAGE,103000,Verified,Fully Paid,home_improvement,CO,50,29970.27046,Individual
7200,7200, 36 months,7.49%,223.94,A,5 years,MORTGAGE,40000,Not Verified,Fully Paid,major_purchase,TX,37,7878.980848,Individual
8500,8500, 36 months,14.79%,293.79,C,10+ years,MORTGAGE,59826,Verified,Charged Off,debt_consolidation,FL,26,6694.54,Individual
2400,2400, 36 months,11.49%,79.14,B,6 years,RENT,60000,Not Verified,Fully Paid,debt_consolidation,PA,17,2751.789248,Individual
15500,15500, 36 months,10.99%,507.38,B,< 1 year,MORTGAGE,80000,Source Verified,Fully Paid,debt_consolidation,CA,16,16505.38977,Individual
14750,14475.48655, 60 months,17.49%,370.48,D,10+ years,MORTGAGE,73000,Not Verified,Fully Paid,debt_consolidation,NY,62,18742.81442,Individual
9800,9800, 60 months,17.99%,248.81,E,3 years,RENT,145008,Verified,Fully Paid,debt_consolidation,CA,30,13529.49577,Individual
14400,14400, 36 months,11.99%,478.22,B,5 years,MORTGAGE,124896,Not Verified,Fully Paid,debt_consolidation,KY,41,17050.024,Individual
4200,4200, 60 months,13.99%,97.71,C,10+ years,MORTGAGE,48000,Not Verified,Fully Paid,other,TX,23,5449.180313,Individual
35000,31700, 60 months,17.49%,797.46,D,10+ years,MORTGAGE,65000,Verified,Fully Paid,credit_card,AL,27,47847.47004,Individual
8000,8000, 36 months,5.99%,243.34,A,3 years,MORTGAGE,24000,Not Verified,Fully Paid,home_improvement,NY,14,8649.199927,Individual
4000,4000, 36 months,10.99%,130.94,B,3 years,OWN,65004,Not Verified,Fully Paid,other,NJ,17,4689.51185,Individual
9000,9000, 36 months,16.89%,320.39,D,7 years,OWN,41000,Not Verified,Fully Paid,debt_consolidation,SC,9,11552.63076,Individual
19750,19297.9479, 60 months,19.69%,519.86,E,10+ years,MORTGAGE,90000,Verified,Charged Off,home_improvement,NY,40,30743.6,Individual
12000,12000, 36 months,7.49%,373.22,A,8 years,MORTGAGE,120000,Verified,Fully Paid,debt_consolidation,FL,36,13260.26529,Individual
9600,6375, 36 months,13.49%,325.74,C,9 years,MORTGAGE,74400,Verified,Charged Off,debt_consolidation,TX,38,432,Individual
5000,5000, 36 months,16.49%,177,D,4 years,RENT,200000,Verified,Fully Paid,debt_consolidation,PA,28,6371.868944,Individual
18000,14250, 60 months,20.99%,385.44,F,10+ years,MORTGAGE,340000,Source Verified,Fully Paid,home_improvement,RI,63,18732.46159,Individual
20000,20000, 60 months,11.99%,444.79,B,10+ years,MORTGAGE,66000,Verified,Fully Paid,home_improvement,FL,17,21885.20818,Individual
12000,12000, 36 months,16.49%,424.8,D,4 years,RENT,65000,Source Verified,Fully Paid,debt_consolidation,FL,12,12645.36816,Individual
30000,29750, 36 months,13.49%,1017.92,C,2 years,MORTGAGE,134000,Verified,Fully Paid,debt_consolidation,SC,23,35356.04983,Individual
2000,2000, 36 months,6.99%,61.75,A,3 years,RENT,130000,Source Verified,Fully Paid,medical,MN,17,2219.251451,Individual
18225,18225, 36 months,10.99%,596.58,B,< 1 year,MORTGAGE,50000,Verified,Fully Paid,debt_consolidation,MO,27,21476.74494,Individual
28200,18450, 60 months,20.62%,495.87,F,7 years,RENT,56000,Verified,Charged Off,debt_consolidation,MI,18,9159.2,Individual
9600,9600, 36 months,7.49%,298.58,A,10+ years,RENT,55000,Not Verified,Fully Paid,debt_consolidation,CT,27,10748.70327,Individual
8400,8400, 36 months,5.99%,255.51,A,3 years,MORTGAGE,86000,Not Verified,Fully Paid,small_business,NV,29,9066.658803,Individual
3600,3600, 36 months,10.59%,117.17,B,< 1 year,RENT,65000,Source Verified,Fully Paid,debt_consolidation,GA,26,4216.745313,Individual
28000,27950, 60 months,17.49%,703.28,D,4 years,MORTGAGE,80000,Verified,Charged Off,debt_consolidation,FL,36,14768.88,Individual
16075,15575, 36 months,6.99%,496.28,A,10+ years,MORTGAGE,65253,Not Verified,Fully Paid,credit_card,WA,21,17865.91384,Individual
24000,15725, 60 months,21.36%,428.61,F,5 years,MORTGAGE,125000,Source Verified,Charged Off,debt_consolidation,TX,35,8539.26,Individual
10000,10000, 36 months,13.49%,339.31,C,3 years,RENT,40000,Verified,Charged Off,debt_consolidation,GA,11,10156.06,Individual
6000,6000, 36 months,6.99%,185.24,A,7 years,MORTGAGE,77000,Not Verified,Fully Paid,major_purchase,OH,25,6621.599665,Individual
5000,5000, 36 months,11.99%,166.05,B,10+ years,MORTGAGE,136886,Verified,Charged Off,debt_consolidation,NV,28,1954.55,Individual
10000,9450, 36 months,6.99%,308.73,A,4 years,MORTGAGE,65000,Source Verified,Fully Paid,debt_consolidation,MN,19,11035.95671,Individual
12000,11975, 60 months,13.49%,276.06,C,< 1 year,RENT,60000,Verified,Fully Paid,debt_consolidation,CO,40,13510.29416,Individual
4800,4800, 36 months,13.49%,162.87,C,n/a,MORTGAGE,71000,Source Verified,Fully Paid,moving,KS,6,5836.704342,Individual
10500,10500, 36 months,8.49%,331.42,A,5 years,RENT,40500,Not Verified,Charged Off,debt_consolidation,CA,10,4971.3,Individual
18000,17975, 60 months,11.99%,400.31,B,1 year,RENT,64000,Verified,Fully Paid,debt_consolidation,CO,45,20007.865,Individual
20700,19912.60411, 60 months,20.99%,559.89,F,4 years,RENT,33000,Verified,Fully Paid,debt_consolidation,PA,14,28562.28986,Individual
10000,10000, 36 months,16.49%,354,D,4 years,MORTGAGE,82000,Not Verified,Fully Paid,debt_consolidation,VA,13,12743.73487,Individual
3600,3575, 36 months,5.99%,109.51,A,5 years,RENT,55000,Not Verified,Fully Paid,small_business,AR,22,3969.355292,Individual
29000,20415.36976, 60 months,11.49%,497.47,B,6 years,MORTGAGE,73000,Verified,Fully Paid,debt_consolidation,FL,55,25753.59228,Individual
7500,7500, 60 months,16.49%,184.35,D,1 year,MORTGAGE,78000,Source Verified,Fully Paid,car,TX,42,7603.75,Individual
6000,6000, 36 months,13.49%,203.59,C,3 years,RENT,50000,Not Verified,Fully Paid,debt_consolidation,NY,10,7147.686435,Individual
4000,4000, 36 months,5.99%,121.67,A,5 years,RENT,33000,Not Verified,Fully Paid,debt_consolidation,MO,30,4290.840468,Individual
16000,15950, 60 months,13.49%,368.08,C,< 1 year,MORTGAGE,300000,Source Verified,Fully Paid,home_improvement,NJ,43,22084.38452,Individual
8000,8000, 36 months,13.49%,271.45,C,3 years,RENT,64800,Verified,Fully Paid,debt_consolidation,MD,29,9771.918186,Individual
35000,32555.06143, 60 months,18.39%,896.22,E,3 years,MORTGAGE,205000,Verified,Fully Paid,home_improvement,MA,27,46166.63305,Individual
6000,6000, 36 months,15.23%,208.67,C,10+ years,MORTGAGE,60000,Not Verified,Charged Off,debt_consolidation,FL,28,5516.29,Individual
2500,2475, 36 months,7.49%,77.76,A,n/a,OWN,8628,Not Verified,Fully Paid,debt_consolidation,NC,11,2574.149435,Individual
6000,6000, 60 months,18.39%,153.64,E,9 years,MORTGAGE,54504,Not Verified,Fully Paid,debt_consolidation,TX,33,9055.41001,Individual
25000,20250, 60 months,11.49%,445.8,B,3 years,RENT,49380,Verified,Fully Paid,other,SC,29,24600.3561,Individual
6000,6000, 36 months,10.99%,196.41,B,< 1 year,RENT,95000,Source Verified,Fully Paid,debt_consolidation,NY,31,7052.846513,Individual
30000,30000, 36 months,16.49%,1061.99,D,6 years,MORTGAGE,120000,Verified,Charged Off,other,TX,39,20177.81,Individual
8000,8000, 36 months,7.49%,248.82,A,4 years,MORTGAGE,33000,Not Verified,Fully Paid,small_business,NC,11,8957.23864,Individual
3000,3000, 36 months,11.99%,99.63,B,4 years,OWN,19200,Not Verified,Fully Paid,debt_consolidation,TX,8,3427.288627,Individual
9800,9800, 36 months,5.42%,295.57,A,10+ years,MORTGAGE,140004,Source Verified,Fully Paid,credit_card,AZ,27,10640.3777,Individual
19200,18589.13372, 60 months,21.74%,527.45,F,2 years,RENT,72000,Not Verified,Fully Paid,debt_consolidation,TX,15,31646.86992,Individual
8000,8000, 36 months,12.99%,269.52,C,7 years,RENT,62000,Not Verified,Fully Paid,debt_consolidation,AZ,11,9413.676249,Individual
15000,15000, 36 months,11.99%,498.15,B,5 years,RENT,48000,Not Verified,Fully Paid,debt_consolidation,WA,7,17953.57464,Individual
6150,6150, 36 months,11.49%,202.78,B,10+ years,MORTGAGE,72000,Not Verified,Fully Paid,home_improvement,WI,41,7299.789011,Individual
7800,7800, 36 months,16.49%,276.12,D,1 year,RENT,33600,Not Verified,Fully Paid,debt_consolidation,CA,12,9704.365293,Individual
18000,18000, 60 months,16.89%,446.29,D,2 years,RENT,48000,Verified,Fully Paid,debt_consolidation,NC,30,26772.78003,Individual
13500,13500, 36 months,13.99%,461.34,C,6 years,RENT,57772,Not Verified,Fully Paid,debt_consolidation,IL,16,16423.07119,Individual
18225,17774.51981, 60 months,18.79%,470.67,E,10+ years,MORTGAGE,68000,Verified,Fully Paid,credit_card,AZ,37,28239.52995,Individual
35000,34250, 36 months,11.99%,1137.43,B,< 1 year,RENT,80000,Source Verified,Fully Paid,credit_card,TX,32,40100.99284,Individual
5500,5500, 36 months,9.99%,177.45,B,10+ years,RENT,73000,Not Verified,Fully Paid,debt_consolidation,CA,32,5864.29773,Individual
35000,33064.76636, 60 months,18.39%,896.22,E,10+ years,MORTGAGE,75000,Verified,Fully Paid,debt_consolidation,GA,54,53772.44992,Individual
12000,11975, 60 months,13.49%,276.06,C,3 years,OWN,84996,Not Verified,Fully Paid,debt_consolidation,NJ,30,16272.11997,Individual
20000,19700, 60 months,12.99%,454.96,C,10+ years,MORTGAGE,46000,Verified,Fully Paid,debt_consolidation,SC,19,26870.49,Individual
18000,18000, 36 months,15.23%,626.01,C,10+ years,RENT,46800,Verified,Fully Paid,debt_consolidation,CA,18,22536.14499,Individual
7000,7000, 36 months,6.99%,216.11,A,1 year,RENT,95000,Not Verified,Fully Paid,debt_consolidation,CA,22,7795.987939,Individual
15000,15000, 36 months,15.99%,527.29,D,10+ years,MORTGAGE,40000,Verified,Charged Off,debt_consolidation,IL,36,14803.37,Individual
33950,22925, 60 months,21.74%,631.16,F,10+ years,MORTGAGE,180000,Verified,Charged Off,debt_consolidation,CA,31,36678.35,Individual
2875,2875, 36 months,11.99%,95.48,B,4 years,OWN,40800,Not Verified,Charged Off,moving,CA,6,2693.81,Individual
5400,5400, 60 months,18.39%,138.28,E,2 years,RENT,18996,Source Verified,Charged Off,other,MO,16,1659.08,Individual
18500,18500, 36 months,12.99%,623.25,C,10+ years,RENT,60000,Not Verified,Fully Paid,debt_consolidation,NY,16,22370.92514,Individual
2000,2000, 36 months,6.99%,61.75,A,1 year,RENT,69000,Not Verified,Fully Paid,debt_consolidation,NJ,20,2219.251451,Individual
7000,7000, 36 months,8.49%,220.95,A,3 years,OWN,42000,Not Verified,Fully Paid,car,VA,16,7145.166795,Individual
35000,34925, 60 months,12.99%,796.18,C,10+ years,MORTGAGE,85000,Verified,Fully Paid,home_improvement,FL,39,47770.66991,Individual
6000,6000, 36 months,13.99%,205.04,C,7 years,MORTGAGE,50000,Not Verified,Fully Paid,debt_consolidation,NJ,18,7381.29069,Individual
25200,24950, 60 months,13.49%,579.72,C,4 years,MORTGAGE,90000,Verified,Fully Paid,debt_consolidation,GA,43,31743.06872,Individual
11200,11200, 36 months,11.99%,371.95,B,1 year,RENT,30809,Source Verified,Fully Paid,debt_consolidation,CA,11,13390.06127,Individual
28000,27975, 60 months,19.29%,730.82,E,10+ years,MORTGAGE,200000,Verified,Fully Paid,credit_card,MD,43,40766.36128,Individual
21000,21000, 60 months,12.99%,477.71,C,3 years,RENT,340000,Source Verified,Charged Off,wedding,MA,41,22263.66,Individual
6000,6000, 36 months,6.99%,185.24,A,4 years,RENT,37920,Not Verified,Fully Paid,debt_consolidation,FL,15,6610.765023,Individual
21000,21000, 36 months,12.99%,707.48,C,10+ years,RENT,125000,Verified,Fully Paid,debt_consolidation,OR,51,22854.66334,Individual
8000,8000, 36 months,14.79%,276.51,C,3 years,RENT,35000,Source Verified,Fully Paid,debt_consolidation,NY,13,9102.793389,Individual
8500,8500, 36 months,15.62%,297.25,D,10+ years,MORTGAGE,46500,Source Verified,Fully Paid,other,GA,15,9933.11995,Individual
7800,7800, 36 months,15.62%,272.77,D,7 years,RENT,43955.48,Source Verified,Fully Paid,debt_consolidation,IL,34,9819.436326,Individual
18000,18000, 36 months,14.79%,622.13,C,3 years,RENT,125000,Source Verified,Fully Paid,credit_card,KY,34,22396.51909,Individual
4000,4000, 36 months,5.42%,120.64,A,8 years,MORTGAGE,50000,Source Verified,Fully Paid,major_purchase,WY,16,4343.013754,Individual
9600,9600, 60 months,13.49%,220.85,C,3 years,MORTGAGE,59000,Not Verified,Fully Paid,other,TX,32,13143.36002,Individual
7600,7600, 36 months,13.49%,257.88,C,< 1 year,RENT,80000,Source Verified,Fully Paid,debt_consolidation,WA,13,8527.326273,Individual
3000,3000, 36 months,12.99%,101.07,C,10+ years,MORTGAGE,62000,Source Verified,Fully Paid,medical,OR,13,3405.379265,Individual
1400,1400, 36 months,10.59%,45.57,B,n/a,RENT,45000,Not Verified,Fully Paid,other,CT,33,1424.532188,Individual
28000,28000, 36 months,10.99%,916.56,B,10+ years,OWN,260000,Verified,Fully Paid,home_improvement,NJ,30,32995.79889,Individual
8750,8750, 36 months,9.99%,282.3,B,8 years,MORTGAGE,66000,Not Verified,Fully Paid,debt_consolidation,LA,40,9958.433155,Individual
28000,27975, 36 months,16.49%,991.19,D,2 years,MORTGAGE,95000,Verified,Fully Paid,home_improvement,OR,15,35602.68079,Individual
16550,16550, 60 months,10.99%,359.76,B,5 years,OWN,30000,Not Verified,Fully Paid,home_improvement,PA,10,21584.84984,Individual
4000,4000, 36 months,5.42%,120.64,A,3 years,MORTGAGE,60000,Not Verified,Fully Paid,home_improvement,GA,26,4295.72657,Individual
5600,5600, 36 months,10.99%,183.32,B,7 years,MORTGAGE,64800,Not Verified,Fully Paid,car,NY,20,6582.636791,Individual
1700,1700, 36 months,9.99%,54.85,B,2 years,RENT,18600,Not Verified,Fully Paid,debt_consolidation,CA,6,1814.935548,Individual
5000,5000, 36 months,7.49%,155.51,A,< 1 year,MORTGAGE,38400,Source Verified,Fully Paid,credit_card,TX,28,5276.604337,Individual
3000,3000, 36 months,7.49%,93.31,A,2 years,RENT,75000,Not Verified,Fully Paid,medical,CA,18,3358.953926,Individual
5000,5000, 36 months,14.79%,172.82,C,3 years,RENT,60000,Source Verified,Fully Paid,other,CA,9,6221.200489,Individual
14500,14500, 36 months,11.49%,478.09,B,3 years,RENT,55500,Source Verified,Charged Off,debt_consolidation,CA,36,6737.08,Individual
12000,11950, 60 months,18.39%,307.28,E,4 years,MORTGAGE,75000,Source Verified,Fully Paid,debt_consolidation,OH,18,18426.17996,Individual
4000,4000, 36 months,10.59%,130.18,B,3 years,MORTGAGE,30000,Not Verified,Fully Paid,other,FL,8,4103.601623,Individual
5000,5000, 36 months,8.49%,157.82,A,2 years,RENT,48000,Not Verified,Charged Off,small_business,NC,11,1862.18,Individual
7000,7000, 60 months,17.99%,177.72,E,2 years,MORTGAGE,66996,Not Verified,Fully Paid,debt_consolidation,IL,32,9106.962426,Individual
12000,12000, 36 months,7.49%,373.22,A,7 years,RENT,84000,Source Verified,Fully Paid,major_purchase,VA,18,12908.76698,Individual
3000,3000, 36 months,15.62%,104.91,D,8 years,MORTGAGE,65000,Source Verified,Fully Paid,other,MD,12,3776.720974,Individual
25000,24975, 60 months,14.79%,592,C,1 year,MORTGAGE,143000,Verified,Fully Paid,debt_consolidation,MA,19,35519.64942,Individual
24000,24000, 36 months,19.69%,888.14,E,10+ years,RENT,95000,Verified,Fully Paid,debt_consolidation,CA,26,31910.99776,Individual
11000,11000, 36 months,17.99%,397.63,E,10+ years,MORTGAGE,90369,Verified,Fully Paid,debt_consolidation,DC,14,14314.2627,Individual
4800,4550, 36 months,7.49%,149.29,A,10+ years,MORTGAGE,45000,Not Verified,Fully Paid,debt_consolidation,SD,30,5374.351633,Individual
8000,8000, 36 months,12.99%,269.52,C,10+ years,MORTGAGE,86400,Source Verified,Fully Paid,debt_consolidation,CA,27,8563.860478,Individual
15000,15000, 36 months,11.99%,498.15,B,10+ years,RENT,42300,Not Verified,Fully Paid,debt_consolidation,PA,29,17440.34182,Individual
35000,34700, 36 months,11.99%,1162.34,B,3 years,MORTGAGE,95000,Verified,Fully Paid,debt_consolidation,GA,39,41112.19853,Individual
30000,30000, 36 months,17.49%,1076.92,D,5 years,RENT,112260,Verified,Fully Paid,debt_consolidation,CA,18,30865.34419,Individual
8325,8325, 36 months,6.99%,257.02,A,2 years,MORTGAGE,106369,Source Verified,Fully Paid,home_improvement,OR,22,9252.471269,Individual
10000,10000, 36 months,16.89%,355.99,D,10+ years,MORTGAGE,49000,Source Verified,Fully Paid,debt_consolidation,TX,20,12259.68223,Individual
14000,13750, 36 months,8.49%,441.89,A,< 1 year,MORTGAGE,65000,Verified,Fully Paid,debt_consolidation,FL,26,15548.23328,Individual
35000,34975, 60 months,12.99%,796.18,C,10+ years,RENT,45000,Verified,Fully Paid,small_business,NY,8,40793.11138,Individual
